id,class,name,num,images,currency,goods_price,goods_ori_price,goods_price_range,watch_num,sold_num,buyer_limit_num,stock_status,fast_ship,free_shipping,youtube_link,video_link,ncc_check_code,bsmi_code,goods_no,available,post_time,spec_type,deliver_way,mode,ship,platform,ctrl_rowid,user,user_credit,pay_way,title_style,selling_g_now_price,item_remaining_time,translation_type,translated_name,min_estimated_delivery_date,max_estimated_delivery_date,update_time,is_brand_seller,is_ruten_choice_seller,is_r_pcstore,is_pcstore,is_goods_from_oversea,is_goods_sale,sale_start_time,sale_end_time,seller_score,is_sale_start_time_editable
22235224638009,0009002100010011,歐司朗 小晶靈LED燈泡 冰棒燈 小小冰 小雪糕 燈泡 全電壓 可選 E14 E27 7W 10W 12W 白光 黃光,9982,"{'filename': '22235224638009_951.jpg,22235224638009_107.jpg,22235224638009_666.jpg,22235224638009_217.jpg,22235224638009_379.jpg,22235224638009_478.jpg,22235224638009_721.jpg,22235224638009_689.jpg', 'url': ['https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_951.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_107.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_666.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_217.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_379.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_478.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_721.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_689.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_951_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_107_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_666_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_217_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_379_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_478_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_721_m.jpg', 'https://gcs.rimg.com.tw/g1/9/a6/39/22235224638009_689_m.jpg']}",TWD,82,82,"{'min': 82, 'max': 130, 'ori_min': 82, 'ori_max': 130}",3,8,0,1,0,0,,,,,,True,1662081669,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'HOUSE': 100, 'COD': 140}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_ZERO', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'COD']",0,82,414447864,,,,,2024-09-29,False,True,False,False,False,False,1662081669,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22235224582636,0009002100010011,OSRAM 歐司朗 LED球泡燈 E27球泡 節能省電燈泡 全電壓《LED 燈泡 6.5W 8.5W 12W 14W》,11979,"{'filename': '22235224582636_205.jpg,22235224582636_603.jpg,22235224582636_334.jpg,22235224582636_651.jpg,22235224582636_674.jpg,22235224582636_402.jpg,22235224582636_969.jpg,22235224582636_296.jpg,22235224582636_200.jpg', 'url': ['https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_205.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_603.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_334.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_651.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_674.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_402.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_969.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_296.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_200.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_205_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_603_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_334_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_651_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_674_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_402_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_969_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_296_m.jpg', 'https://gcs.rimg.com.tw/g2/8/cd/ec/22235224582636_200_m.jpg']}",TWD,85,85,"{'min': 85, 'max': 163, 'ori_min': 85, 'ori_max': 163}",0,9,0,1,0,0,,,,,,True,1662080832,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'COD']",0,85,414447864,,,,,2024-01-22,False,True,False,False,False,False,1662080833,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21939004135951,0009002100010011,含稅》旭光LED球泡 3.5W 8W 10W 13W LED省電燈泡 《白光 黃光》神明燈LED燈泡110V,9987,"{'filename': '21939004135951_532.jpg,21939004135951_971.jpg,21939004135951_707.jpg,21939004135951_679.jpg,21939004135951_673.jpg', 'url': ['https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_532.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_971.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_707.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_679.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_673.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_532_m.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_971_m.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_707_m.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_679_m.jpg', 'https://gcs.rimg.com.tw/g1/0/36/0f/21939004135951_673_m.jpg']}",TWD,30,30,"{'min': 30, 'max': 74, 'ori_min': 30, 'ori_max': 74}",2,3,0,5,0,0,,,,,,True,1569314031,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'ATM', 'PS', 'COD']",0,30,414447864,,,,,2024-11-12,False,True,False,False,False,False,1569314031,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21609909384562,0009002100010011,含稅》旭光LED燈泡13W【LED 球燈泡 球泡燈 可選晝光色 6000K 燈泡色 3000K】-《HY生活館》,1988,"{'filename': '21609909384562_818.jpg,21609909384562_339.jpg', 'url': ['https://gcs.rimg.com.tw/g2/5/35/72/21609909384562_818.jpg', 'https://gcs.rimg.com.tw/g2/5/35/72/21609909384562_339.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/5/35/72/21609909384562_818_m.jpg', 'https://gcs.rimg.com.tw/g2/5/35/72/21609909384562_339_m.jpg']}",TWD,74,74,"{'min': 74, 'max': 74, 'ori_min': 74, 'ori_max': 74}",0,353,0,5,0,0,,,,,,True,1456733664,R,"{'SEVEN_COD': 60, 'FAMI_COD': 60, 'FAMI': 60, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'ATM', 'PS', 'COD']",0,74,414447864,,,,,2024-06-22,False,True,False,False,False,False,1456733665,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21608885553719,0009002100010011,含稅》旭光LED燈泡8W【E27燈頭 全電壓 LED 球泡燈 球燈泡 省電燈泡 8W 白光 黃光】-《HY生活館》,1982,"{'filename': '21608885553719_898.jpg,21608885553719_561.jpg,21608885553719_250.jpg', 'url': ['https://gcs.rimg.com.tw/g1/e/ca/37/21608885553719_898.jpg', 'https://gcs.rimg.com.tw/g1/e/ca/37/21608885553719_561.jpg', 'https://gcs.rimg.com.tw/g1/e/ca/37/21608885553719_250.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/e/ca/37/21608885553719_898_m.jpg', 'https://gcs.rimg.com.tw/g1/e/ca/37/21608885553719_561_m.jpg', 'https://gcs.rimg.com.tw/g1/e/ca/37/21608885553719_250_m.jpg']}",TWD,58,58,"{'min': 58, 'max': 58, 'ori_min': 58, 'ori_max': 58}",0,24,0,5,0,0,,,,,,True,1456557194,R,"{'SEVEN_COD': 60, 'FAMI_COD': 60, 'FAMI': 60, 'POST': 80, 'HOUSE': 100, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'ATM']",0,58,414447864,,,,,2023-09-14,False,True,False,False,False,False,1456557194,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21445645291665,0009002100010011,含稅》旭光 LED全發光系列 LED球泡10W 白光 黃光【LED燈泡。LED球泡燈 全電壓】-《HY生活館》,1977,"{'filename': '21445645291665_413.jpg,21445645291665_560.jpg,21445645291665_603.jpg', 'url': ['https://gcs.rimg.com.tw/g1/c/50/91/21445645291665_413.jpg', 'https://gcs.rimg.com.tw/g1/c/50/91/21445645291665_560.jpg', 'https://gcs.rimg.com.tw/g1/c/50/91/21445645291665_603.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/c/50/91/21445645291665_413_m.jpg', 'https://gcs.rimg.com.tw/g1/c/50/91/21445645291665_560_m.jpg', 'https://gcs.rimg.com.tw/g1/c/50/91/21445645291665_603_m.jpg']}",TWD,59,59,"{'min': 59, 'max': 59, 'ori_min': 59, 'ori_max': 59}",0,221,0,5,0,0,,,,,,True,1415066470,R,"{'SEVEN_COD': 60, 'FAMI_COD': 60, 'FAMI': 60, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'ATM', 'PS', 'COD']",0,59,414447864,,,,,2024-01-21,False,True,False,False,False,False,1415066470,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21444595956172,00090021000600020009,《附發票》美式燈頭 廣告燈頭 紅銅燈頭 美式燈座 適用E27頭燈泡 售旭光 LED燈泡 崁燈《HY生活館》水電材料專賣店,9795,"{'filename': '21444595956172_666.jpg', 'url': ['https://gcs.rimg.com.tw/g2/0/b9/cc/21444595956172_666.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/0/b9/cc/21444595956172_666_m.jpg']}",TWD,28,28,"{'min': 28, 'max': 28, 'ori_min': 28, 'ori_max': 28}",0,207,0,1,0,0,,,,,,True,1414546223,N,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'HOUSE': 100, 'COD': 140}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_ZERO', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'COD']",0,28,414447864,,,,,2024-04-25,False,True,False,False,False,False,1714038131,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21402144381617,0009002100010002,《含稅附發票》電精靈 E27頭 日式引掛燈座 珍珠燈座 另售螺旋燈泡 LED燈泡 開關插座 電纜電線 -《HY生活館》,96,"{'filename': '21402144381617_181.jpg,21402144381617_697.jpg,21402144381617_198.jpg', 'url': ['https://gcs.rimg.com.tw/g1/0/aa/b1/21402144381617_181.jpg', 'https://gcs.rimg.com.tw/g1/0/aa/b1/21402144381617_697.jpg', 'https://gcs.rimg.com.tw/g1/0/aa/b1/21402144381617_198.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/0/aa/b1/21402144381617_181_m.jpg', 'https://gcs.rimg.com.tw/g1/0/aa/b1/21402144381617_697_m.jpg', 'https://gcs.rimg.com.tw/g1/0/aa/b1/21402144381617_198_m.jpg']}",TWD,53,53,"{'min': 53, 'max': 53, 'ori_min': 53, 'ori_max': 53}",0,3,0,1,0,0,,,,,,True,1392357613,N,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'COD']",0,53,414447864,,,,,2024-06-27,False,True,False,False,False,False,1392357613,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21312185150605,0009002100010011,附發票》旭光LED球泡3.5W 【全電壓 LED 燈泡 球泡燈 3.5W E27頭】另售 8W 10W 13W 16W,1993,"{'filename': '21312185150605_884.jpg,21312185150605_920.jpg', 'url': ['https://gcs.rimg.com.tw/g1/e/c0/8d/21312185150605_884.jpg', 'https://gcs.rimg.com.tw/g1/e/c0/8d/21312185150605_920.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/e/c0/8d/21312185150605_884_m.jpg', 'https://gcs.rimg.com.tw/g1/e/c0/8d/21312185150605_920_m.jpg']}",TWD,50,50,"{'min': 50, 'max': 50, 'ori_min': 50, 'ori_max': 50}",1,87,0,5,0,0,,,,,,True,1387330910,R,"{'SEVEN_COD': 60, 'FAMI_COD': 60, 'FAMI': 60, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'ATM', 'PS', 'COD']",0,50,414447864,,,,,2024-11-10,False,True,False,False,False,False,1387330910,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
21301168774336,0009002100010011,【OSRAM 歐司朗】LED球泡燈 6.5W 節能球泡 LED燈泡 全電壓 省電燈泡 可選 白光 / 黃光 / 自然光,2997,"{'filename': '21301168774336_245.jpg,21301168774336_284.jpg,21301168774336_622.jpg,21301168774336_372.jpg,21301168774336_539.jpg,21301168774336_462.jpg,21301168774336_654.jpg,21301168774336_458.jpg,21301168774336_261.jpg', 'url': ['https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_245.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_284.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_622.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_372.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_539.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_462.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_654.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_458.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_261.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_245_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_284_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_622_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_372_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_539_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_462_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_654_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_458_m.jpg', 'https://gcs.rimg.com.tw/g2/a/14/c0/21301168774336_261_m.jpg']}",TWD,85,85,"{'min': 85, 'max': 85, 'ori_min': 85, 'ori_max': 85}",0,460,0,1,0,0,,,,,,True,1358306520,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'HOUSE': 100, 'COD': 140, 'SELF': 0}",B,A,RUTEN,3964092,angela7817,13719,"['PP_PI', 'PP_CRD', 'PP_CRD_N3', 'PP_CRD_N6', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'COD']",0,85,414447864,,,,,2024-01-22,False,True,False,False,False,False,1358306520,2145887999,"{'TotalCompletionRate': 0.98642534, 'TotalOrderNum': 221, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0.98395723, '3daysOrderNum': 187, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 1, '14daysOrderNum': 1, '21daysCompletionRate': 1, '21daysOrderNum': 33, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
