id,class,name,num,images,currency,goods_price,goods_ori_price,goods_price_range,watch_num,sold_num,buyer_limit_num,stock_status,fast_ship,free_shipping,youtube_link,video_link,ncc_check_code,bsmi_code,goods_no,available,post_time,spec_type,deliver_way,mode,ship,platform,ctrl_rowid,user,user_credit,pay_way,title_style,selling_g_now_price,item_remaining_time,translation_type,translated_name,min_estimated_delivery_date,max_estimated_delivery_date,update_time,is_brand_seller,is_ruten_choice_seller,is_r_pcstore,is_pcstore,is_goods_from_oversea,is_goods_sale,sale_start_time,sale_end_time,seller_score,is_sale_start_time_editable,pre_order_ship_date
22326117291422,000100020010,㊣Disney迪士尼書包/漫威書包/鋼鐵人書包/美國隊長書包蜘蛛人書包迪士尼背包小學生書包適用3-6年級預購款,15,"{'filename': '22326117291422_410.jpg,22326117291422_780.jpg,22326117291422_221.jpg,22326117291422_227.jpg,22326117291422_564.jpg,22326117291422_508.jpg,22326117291422_234.jpg,22326117291422_459.jpg,22326117291422_608.jpg', 'url': ['https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_410.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_780.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_221.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_227.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_564.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_508.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_234.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_459.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_608.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_410_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_780_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_221_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_227_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_564_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_508_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_234_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_459_m.jpg', 'https://gcs.rimg.com.tw/g2/e/75/9e/22326117291422_608_m.jpg']}",TWD,820,820,"{'min': 820, 'max': 820, 'ori_min': 820, 'ori_max': 820}",0,0,0,1,0,0,,,,,,True,1688309532,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS']",0,820,414447857,,,,,2024-01-23,False,False,False,False,False,False,1688309537,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22326113009379,000100020010,快樂上學趣㊣Disney迪士尼書包TSUM TSUM書包/米妮書包/草莓熊書包/兒童背包/男女童背包/雙肩背包/米奇書包,15,"{'filename': '22326113009379_378.jpg,22326113009379_744.jpg,22326113009379_103.jpg,22326113009379_366.jpg,22326113009379_686.jpg,22326113009379_373.jpg,22326113009379_253.jpg,22326113009379_431.jpg', 'url': ['https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_378.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_744.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_103.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_366.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_686.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_373.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_253.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_431.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_378_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_744_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_103_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_366_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_686_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_373_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_253_m.jpg', 'https://gcs.rimg.com.tw/g1/d/1e/e3/22326113009379_431_m.jpg']}",TWD,1090,1090,"{'min': 1090, 'max': 1090, 'ori_min': 1090, 'ori_max': 1090}",0,0,0,0,0,0,,,,,,True,1688262047,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS']",0,1090,414447857,,,,,2024-01-23,False,False,False,False,False,False,1688262050,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22326112976775,000100020010,開學趣㊣凱蒂貓背包/HELLO KITTY書包/庫洛米書/兒童書包/美樂蒂背包/大耳狗書包/卡通書包1-2年級 預購款,20,"{'filename': '22326112976775_537.jpg,22326112976775_651.jpg,22326112976775_494.jpg,22326112976775_296.jpg,22326112976775_264.jpg,22326112976775_738.jpg,22326112976775_369.jpg,22326112976775_949.jpg,22326112976775_627.jpg', 'url': ['https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_537.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_651.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_494.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_296.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_264.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_738.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_369.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_949.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_627.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_537_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_651_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_494_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_296_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_264_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_738_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_369_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_949_m.jpg', 'https://gcs.rimg.com.tw/g1/c/9f/87/22326112976775_627_m.jpg']}",TWD,1090,1090,"{'min': 1090, 'max': 1090, 'ori_min': 1090, 'ori_max': 1090}",3,0,0,0,0,0,,,,,,True,1688261374,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS']",0,1090,414447857,,,,,2024-01-31,False,False,False,False,False,False,1688261376,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22051313303250,000100020010,開學季~快樂上學趣㊣凱蒂貓背包/HELLO KITTY書包/兒童書包/女童背包/雙肩背包/卡通書包 /1-3年級 預購款,10,"{'filename': '22051313303250_610.jpg,22051313303250_711.jpg,22051313303250_881.jpg,22051313303250_853.jpg,22051313303250_538.jpg,22051313303250_845.jpg', 'url': ['https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_610.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_711.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_881.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_853.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_538.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_845.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_610_m.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_711_m.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_881_m.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_853_m.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_538_m.jpg', 'https://gcs.rimg.com.tw/g2/7/6a/d2/22051313303250_845_m.jpg']}",TWD,1070,1070,"{'min': 1070, 'max': 1070, 'ori_min': 1070, 'ori_max': 1070}",0,0,0,2,0,0,,,,,,True,1607955748,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS']",0,1070,414447857,,,,,2024-01-23,False,False,False,False,False,False,1607955750,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,2023/06
22051313277395,000100020010,開學季~快樂上學趣㊣凱蒂貓背包/HELLO KITTY書包/兒童書包/女童背包/雙肩背包/卡通書包 /1-3年級 預購款,9,"{'filename': '22051313277395_465.jpg,22051313277395_706.jpg,22051313277395_473.jpg,22051313277395_582.jpg,22051313277395_264.jpg,22051313277395_181.jpg', 'url': ['https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_465.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_706.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_473.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_582.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_264.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_181.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_465_m.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_706_m.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_473_m.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_582_m.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_264_m.jpg', 'https://gcs.rimg.com.tw/g1/7/05/d3/22051313277395_181_m.jpg']}",TWD,899,899,"{'min': 899, 'max': 899, 'ori_min': 899, 'ori_max': 899}",0,1,0,2,0,0,,,,,,True,1607955567,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS']",0,899,414447857,,,,,2024-01-23,False,False,False,False,False,False,1607955569,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,2023/06
22049156682296,000100020010,快樂開學季㊣Disney迪士尼書包/漫威書包/鋼鐵人書包/蜘蛛人書包/雙肩背包迪士尼背包小學生書包適用1-3年級預購款,10,"{'filename': '22049156682296_950.jpg,22049156682296_737.jpg,22049156682296_746.jpg,22049156682296_951.jpg,22049156682296_570.jpg,22049156682296_850.jpg,22049156682296_818.jpg,22049156682296_959.jpg,22049156682296_339.jpg', 'url': ['https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_950.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_737.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_746.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_951.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_570.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_850.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_818.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_959.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_339.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_950_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_737_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_746_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_951_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_570_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_850_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_818_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_959_m.jpg', 'https://gcs.rimg.com.tw/g2/7/e2/38/22049156682296_339_m.jpg']}",TWD,1499,1499,"{'min': 1499, 'max': 1499, 'ori_min': 1499, 'ori_max': 1499}",0,0,0,0,0,0,,,,,,True,1606748606,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'MAPLE': 70, 'TCAT': 90, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'F2F']",0,1499,414447857,,,,,2024-08-15,False,False,False,False,False,False,1606748609,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22049156653867,000100020010,快樂開學季㊣Disney迪士尼書包/漫威書包/鋼鐵人書包/蜘蛛人書包/雙肩背包迪士尼背包小學生書包適用1-3年級預購款,15,"{'filename': '22049156653867_990.jpg,22049156653867_224.jpg,22049156653867_788.jpg,22049156653867_791.jpg,22049156653867_982.jpg,22049156653867_957.jpg,22049156653867_642.jpg,22049156653867_897.jpg,22049156653867_162.jpg', 'url': ['https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_990.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_224.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_788.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_791.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_982.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_957.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_642.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_897.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_162.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_990_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_224_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_788_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_791_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_982_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_957_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_642_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_897_m.jpg', 'https://gcs.rimg.com.tw/g1/7/73/2b/22049156653867_162_m.jpg']}",TWD,799,799,"{'min': 799, 'max': 799, 'ori_min': 799, 'ori_max': 799}",0,0,0,5,0,0,,,,,,True,1606748376,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'MAPLE': 70, 'TCAT': 90, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'F2F']",0,799,414447857,,,,,2024-01-23,False,False,False,False,False,False,1606748378,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22048076842610,000100020010,開學季~快樂上學趣㊣凱蒂貓背包/HELLO KITTY書包/兒童書包/女童背包/雙肩背包/卡通書包 /1-3年級 預購款,10,"{'filename': '22048076842610_855.jpg,22048076842610_976.jpg,22048076842610_483.jpg,22048076842610_128.jpg,22048076842610_835.jpg,22048076842610_654.jpg,22048076842610_133.jpg', 'url': ['https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_855.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_976.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_483.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_128.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_835.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_654.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_133.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_855_m.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_976_m.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_483_m.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_128_m.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_835_m.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_654_m.jpg', 'https://gcs.rimg.com.tw/g2/a/d6/72/22048076842610_133_m.jpg']}",TWD,1420,1420,"{'min': 1420, 'max': 1420, 'ori_min': 1420, 'ori_max': 1420}",0,0,0,5,0,0,,,,,,True,1606142876,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'MAPLE': 70, 'TCAT': 90, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'F2F']",0,1420,414447857,,,,,2024-01-23,False,False,False,False,False,False,1606142879,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22048076757266,000100020010,開學季~快樂上學趣㊣凱蒂貓背包/HELLO KITTY書包/兒童書包/女童背包/雙肩背包/側開書包~3-6年級 預購款,10,"{'filename': '22048076757266_624.jpg,22048076757266_887.jpg,22048076757266_677.jpg,22048076757266_652.jpg,22048076757266_203.jpg,22048076757266_359.jpg,22048076757266_716.jpg', 'url': ['https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_624.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_887.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_677.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_652.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_203.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_359.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_716.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_624_m.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_887_m.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_677_m.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_652_m.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_203_m.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_359_m.jpg', 'https://gcs.rimg.com.tw/g2/9/89/12/22048076757266_716_m.jpg']}",TWD,960,960,"{'min': 960, 'max': 960, 'ori_min': 960, 'ori_max': 960}",0,0,0,5,0,0,,,,,,True,1606142266,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'MAPLE': 70, 'TCAT': 90, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'F2F']",0,960,414447857,,,,,2024-01-23,False,False,False,False,False,False,1606142268,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
22044804515319,000100020010,開學季㊣Disney迪士尼書包/兒童書包/冰雪奇緣書包/雙肩背包/卡通書包/艾莎書包/ELSA書包適合1-3年級預購款,10,"{'filename': '22044804515319_972.jpg,22044804515319_893.jpg,22044804515319_887.jpg,22044804515319_965.jpg,22044804515319_481.jpg,22044804515319_657.jpg,22044804515319_635.jpg,22044804515319_100.jpg,22044804515319_267.jpg', 'url': ['https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_972.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_893.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_887.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_965.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_481.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_657.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_635.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_100.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_267.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_972_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_893_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_887_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_965_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_481_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_657_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_635_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_100_m.jpg', 'https://gcs.rimg.com.tw/g1/f/15/f7/22044804515319_267_m.jpg']}",TWD,1120,1120,"{'min': 1120, 'max': 1120, 'ori_min': 1120, 'ori_max': 1120}",0,0,0,5,0,0,,,,,,True,1603955869,R,"{'SEVEN_COD': 60, 'SEVEN': 60, 'FAMI_COD': 60, 'FAMI': 60, 'HILIFE_COD': 50, 'HILIFE': 50, 'MAPLE': 70, 'TCAT': 90, 'POST': 80, 'ISLAND': 120}",B,A,RUTEN,3669607,f852716,565,"['PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'ATM', 'PS', 'F2F']",0,1120,414447857,,,,,2024-01-23,False,False,False,False,False,False,1603955874,2145887999,"{'TotalCompletionRate': 0, 'TotalOrderNum': 0, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 0, '3daysOrderNum': 0, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0, '14daysOrderNum': 0, '21daysCompletionRate': 0, '21daysOrderNum': 0, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True,
