id,class,name,num,images,currency,goods_price,goods_ori_price,goods_price_range,watch_num,sold_num,buyer_limit_num,stock_status,fast_ship,free_shipping,youtube_link,video_link,ncc_check_code,bsmi_code,goods_no,available,post_time,spec_type,deliver_way,mode,ship,platform,ctrl_rowid,user,user_credit,pay_way,title_style,selling_g_now_price,item_remaining_time,translation_type,translated_name,min_estimated_delivery_date,max_estimated_delivery_date,update_time,is_brand_seller,is_ruten_choice_seller,is_r_pcstore,is_pcstore,is_goods_from_oversea,is_goods_sale,sale_start_time,sale_end_time,seller_score,is_sale_start_time_editable
22422644128704,001100160008,迷你便攜鑰匙扣光COB光源野營燈強力磁鐵掛鉤鎖折疊支架開瓶器支架孔,2000,"{'filename': '22422644128704_322.jpg,22422644128704_131.jpg,22422644128704_382.jpg,22422644128704_560.jpg', 'url': ['https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_322.jpg', 'https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_131.jpg', 'https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_382.jpg', 'https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_560.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_322_m.jpg', 'https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_131_m.jpg', 'https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_382_m.jpg', 'https://gcs.rimg.com.tw/g2/a/33/c0/22422644128704_560_m.jpg']}",TWD,73,73,"{'min': 73, 'max': 85, 'ori_min': 73, 'ori_max': 85}",0,0,0,0,0,0,,,,,,True,1716910035,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,73,414447848,,,,,2024-05-28,False,True,False,False,False,False,1716910033,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422668064877,001100160008,KP1125電動開瓶器套裝 酒具套裝 開酒/倒酒和存酒多功能Type-C充電底座款葡萄紅酒電動開瓶器啟瓶器自動開瓶器 黑,1000,"{'filename': '22422668064877_872.jpg,22422668064877_705.jpg,22422668064877_714.jpg,22422668064877_284.jpg', 'url': ['https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_872.jpg', 'https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_705.jpg', 'https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_714.jpg', 'https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_284.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_872_m.jpg', 'https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_705_m.jpg', 'https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_714_m.jpg', 'https://gcs.rimg.com.tw/g1/7/70/6d/22422668064877_284_m.jpg']}",TWD,323,323,"{'min': 323, 'max': 323, 'ori_min': 323, 'ori_max': 323}",0,0,0,0,0,0,,,,,,True,1717263116,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,323,414447848,,,,,2024-06-02,False,True,False,False,False,False,1717263114,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422649462328,001100160008,鑰匙扣啤酒開瓶器口袋金屬金屬分體工具鑰匙扣散裝廚房酒吧工具配件帶爪桿(藍色),2000,"{'filename': '22422649462328_367.jpg,22422649462328_795.jpg,22422649462328_797.jpg,22422649462328_264.jpg', 'url': ['https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_367.jpg', 'https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_795.jpg', 'https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_797.jpg', 'https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_264.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_367_m.jpg', 'https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_795_m.jpg', 'https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_797_m.jpg', 'https://gcs.rimg.com.tw/g2/b/96/38/22422649462328_264_m.jpg']}",TWD,42,42,"{'min': 42, 'max': 42, 'ori_min': 42, 'ori_max': 42}",0,0,0,0,0,0,,,,,,True,1716989307,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,42,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716989304,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422648421298,001100160008,電動開酒器套裝 真空保鮮塞 家庭派對酒吧好品質 箔切割器 可充電自動電動開瓶器帶倒酒器 / / Type-C / Out,1000,"{'filename': '22422648421298_273.jpg,22422648421298_939.jpg,22422648421298_422.jpg,22422648421298_293.jpg', 'url': ['https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_273.jpg', 'https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_939.jpg', 'https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_422.jpg', 'https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_293.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_273_m.jpg', 'https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_939_m.jpg', 'https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_422_m.jpg', 'https://gcs.rimg.com.tw/g2/b/b3/b2/22422648421298_293_m.jpg']}",TWD,323,323,"{'min': 323, 'max': 323, 'ori_min': 323, 'ori_max': 323}",0,0,0,0,0,0,,,,,,True,1716977405,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,323,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716977403,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422647180682,001100160008,迷你便攜鑰匙扣燈多功能cob野營燈磁吸鎖鉤開瓶器快充,1000,"{'filename': '22422647180682_257.jpg,22422647180682_194.jpg,22422647180682_596.jpg,22422647180682_276.jpg', 'url': ['https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_257.jpg', 'https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_194.jpg', 'https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_596.jpg', 'https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_276.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_257_m.jpg', 'https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_194_m.jpg', 'https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_596_m.jpg', 'https://gcs.rimg.com.tw/g2/8/c5/8a/22422647180682_276_m.jpg']}",TWD,116,116,"{'min': 116, 'max': 116, 'ori_min': 116, 'ori_max': 116}",0,0,0,0,0,0,,,,,,True,1716964460,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,116,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716964457,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422646902661,001100160008,"胡桃夾子重型胡桃夾子適用於所有堅果堅固的胡桃夾子開瓶器工具漏斗設計,帶胡桃針",1000,"{'filename': '22422646902661_594.jpg,22422646902661_556.jpg,22422646902661_984.jpg,22422646902661_890.jpg', 'url': ['https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_594.jpg', 'https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_556.jpg', 'https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_984.jpg', 'https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_890.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_594_m.jpg', 'https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_556_m.jpg', 'https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_984_m.jpg', 'https://gcs.rimg.com.tw/g1/4/87/85/22422646902661_890_m.jpg']}",TWD,87,87,"{'min': 87, 'max': 87, 'ori_min': 87, 'ori_max': 87}",0,0,0,0,0,0,,,,,,True,1716960564,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,87,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716960563,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422646603423,001100160008,便攜式手動玻璃瓷磚開瓶器手持式替換刀頭瓷磚玻璃刀多功能玻璃切割,1000,"{'filename': '22422646603423_359.jpg,22422646603423_474.jpg,22422646603423_576.jpg,22422646603423_172.jpg', 'url': ['https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_359.jpg', 'https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_474.jpg', 'https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_576.jpg', 'https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_172.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_359_m.jpg', 'https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_474_m.jpg', 'https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_576_m.jpg', 'https://gcs.rimg.com.tw/g1/f/f6/9f/22422646603423_172_m.jpg']}",TWD,187,187,"{'min': 187, 'max': 187, 'ori_min': 187, 'ori_max': 187}",0,0,0,0,0,0,,,,,,True,1716956468,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,187,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716956466,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422646256056,001100160008,兩爪紅酒開瓶器開瓶器紅酒開瓶器紅酒開瓶器兩爪軟木拔出器損壞軟木塞去除器舊酒開瓶器家用取暖禮物,1000,"{'filename': '22422646256056_799.jpg,22422646256056_493.jpg,22422646256056_372.jpg,22422646256056_913.jpg', 'url': ['https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_799.jpg', 'https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_493.jpg', 'https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_372.jpg', 'https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_913.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_799_m.jpg', 'https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_493_m.jpg', 'https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_372_m.jpg', 'https://gcs.rimg.com.tw/g2/a/a9/b8/22422646256056_913_m.jpg']}",TWD,77,77,"{'min': 77, 'max': 77, 'ori_min': 77, 'ori_max': 77}",0,0,0,0,0,0,,,,,,True,1716951902,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,77,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716951900,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422646220518,001100160008,牡蠣絞花夾海鮮牡蠣開瓶器工具木製牡蠣絞花架家用廚房小工具,1000,"{'filename': '22422646220518_698.jpg,22422646220518_181.jpg,22422646220518_936.jpg,22422646220518_402.jpg', 'url': ['https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_698.jpg', 'https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_181.jpg', 'https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_936.jpg', 'https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_402.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_698_m.jpg', 'https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_181_m.jpg', 'https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_936_m.jpg', 'https://gcs.rimg.com.tw/g2/a/1e/e6/22422646220518_402_m.jpg']}",TWD,77,77,"{'min': 77, 'max': 77, 'ori_min': 77, 'ori_max': 77}",0,0,0,0,0,0,,,,,,True,1716951072,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,77,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716951070,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
22422646090096,001100160008,多功能橡膠皮帶扳手活動扳手開瓶器機油濾清器扳手汽車維修工具,1000,"{'filename': '22422646090096_951.jpg,22422646090096_844.jpg,22422646090096_629.jpg,22422646090096_465.jpg', 'url': ['https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_951.jpg', 'https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_844.jpg', 'https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_629.jpg', 'https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_465.jpg'], 'm_url': ['https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_951_m.jpg', 'https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_844_m.jpg', 'https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_629_m.jpg', 'https://gcs.rimg.com.tw/g2/8/21/70/22422646090096_465_m.jpg']}",TWD,83,83,"{'min': 83, 'max': 83, 'ori_min': 83, 'ori_max': 83}",0,0,0,0,0,0,,,,,,True,1716947421,R,"{'SEVEN_COD': 75, 'FAMI_COD': 75, 'HILIFE_COD': 75, 'POST': 60, 'COD': 100}",B,A,RUTEN,6767157,el_diyan,28072,"['PP_PI', 'PP_CRD', 'PAYLINK', 'SEVEN_COD', 'FAMI_COD', 'HILIFE_COD', 'COD']",0,83,414447848,,,,,2024-05-29,False,True,False,False,False,False,1716947419,2145887999,"{'TotalCompletionRate': 0.92555475, 'TotalOrderNum': 4191, '24hCompletionRate': 0, '24hOrderNum': 0, '3daysCompletionRate': 1, '3daysOrderNum': 1, '7daysCompletionRate': 0, '7daysOrderNum': 0, '14daysCompletionRate': 0.9253112, '14daysOrderNum': 4097, '21daysCompletionRate': 0.9354839, '21daysOrderNum': 93, 'Exceed21daysCompletionRate': 0, 'Exceed21daysOrderNum': 0}",True
